Company,Claude_Sentiment,ChatGPT_1_Sentiment,ChatGPT_2_Sentiment
Waymo,0.11839826839826838,0.11217948717948717,0.07060886644219976
Waymo,0.02479474548440066,-0.012413419913419921,-0.0023109243697478944
Waymo,0.10681632653061222,0.06126262626262627,0.11588541666666664
Waymo,0.0900879917184265,0.12023358585858583,0.07675715488215488
Waymo,0.09463376623376625,0.1437461348175634,0.12391304347826085
Waymo,0.1653846153846154,0.1404320987654321,0.16833333333333336
Waymo,0.11076388888888888,0.14027777777777778,0.04021739130434783
Waymo,0.11976923076923077,0.1318840579710145,0.12947368421052632
Cruise,0.09953703703703703,0.10089285714285715,0.045005175983436854
Cruise,0.04251700680272109,0.08129800307219662,0.0028880070546737275
Cruise,0.0952205882352941,0.13804347826086955,0.10686091686091685
Cruise,0.09166666666666666,-0.0018518518518518452,0.019444444444444448
Cruise,-0.013754826254826252,0.020833333333333336,0.015740740740740743
Cruise,0.13772893772893774,0.1770703933747412,0.12539682539682542
Cruise,0.006060606060606059,0.1238888888888889,0.09423076923076924
Cruise,0.11266025641025641,0.11120689655172415,0.06095679012345679
Tesla,0.12828282828282828,0.12509259259259262,0.21518018018018018
Tesla,0.1344845779220779,0.09721260221260221,0.08054990054990055
Tesla,0.0783982683982684,0.1724302134646962,0.12774294670846395
Tesla,0.18057359307359305,0.13218864468864466,0.16714852607709751
Tesla,0.0077769070010449285,0.14442528735632185,0.18564242424242422
Tesla,0.14205627705627707,0.19531926406926406,0.23317523056653489
Tesla,0.16496598639455784,0.11902597402597401,0.19
Tesla,0.1708994708994709,0.14550038197097018,0.11675930735930734
Zoox,0.1371794871794872,0.14345238095238094,0.19233511586452762
Zoox,0.06642015392015392,0.0551948051948052,0.05743145743145744
Zoox,0.13480489417989416,0.14868398268398272,0.1317333333333333
Zoox,0.11172438672438673,0.12156177156177156,0.15731182795698925
Zoox,0.08452020202020204,0.10072463768115943,0.14466403162055338
Zoox,0.10570175438596491,0.14466666666666664,0.14563492063492064
Zoox,0.09874338624338624,0.0976190476190476,0.1625
Zoox,0.08152557319223985,0.11035353535353536,0.09060150375939849
